filter,tanpafpga,denganfpga
Average Blur,6.24958353344702,60.4268459267488
Gaussian Blur,6.25253493030523,60.2887439620844
Sobel Vertical,7.45901961777084,60.4404744910869
Sobel Horizontal,7.53538057993614,60.4263337664952
Laplacian,8.04783913050973,60.3130625296822
Sharpening,6.20978298450373,60.3363303411042
