filter; arm; fpga
Average Blur; 8.003612137; 0.823560476
Gaussian Blur; 7.998623228; 0.827384996
Laplacian; 6.210968781; 0.827101517
Sharpening; 8.041392469; 0.825223923
Sobel Horizontal; 6.646468353; 0.823914003
Sobel Vertical; 6.696593809; 0.823559713
Rata-rata; 7.266276463; 0.825124105
