Filter,Tanpa FPGA 50 frame,Tanpa FPGA 200 frame,Dengan FPGA 50 frame,Dengan FPGA 200 frame
Average Blur,8.00361213684082,31.9899158954621,0.823560476303101,3.32552518844605
Gaussian Blur,7.99862322807312,31.9795805454254,0.827384996414185,3.32535176277161
Sobel Vertical,6.69659380912781,26.8419644832611,0.823559713363647,3.3240608215332
Sobel Horizontal,6.64646835327148,26.4973923683166,0.823914003372192,3.32414484024048
Laplacian,6.21096878051758,24.8599366188049,0.827101516723633,3.32375345230102
Sharpening,8.04139246940613,32.2490603923798,0.825223922729492,3.32878680229187
